,road_name
1338,Mulberry Street
1339,Munjar Road
1340,Musty Buck Road
1341,Myrtle Avenue
1342,N Cedar Street
1343,N Cherry Street
1344,N Lindo Avenue
1345,N Point Road
1346,N Valley Court
1347,Nancy Lane
1348,Naomi Avenue
1349,Natoma Court
1350,Navarro Drive
1351,Neal Dow Avenue
1352,Nelson Street
1353,Neplus Drive
1354,Netters Circle
1355,Netto Lane
1356,Nevadillo Court
1357,New Dawn Circle
1358,New Foster Place
1359,New Heather Way
1360,Newport Drive
1361,Niagara Way
1362,Nicalog Road
1363,Nicholas C Schouten Lane
1364,Nicole Lane
1365,Nighthawk Way
1366,Nightsong Lane
1367,Nimshew Run Lane
1368,No Way
1369,Noel Court
1370,Nord Avenue
1371,Nord Avenue
1372,Nord Avenue
1373,Nord Gianella Road
1374,Nord Highway
1375,Norfield Avenue
1376,Normal Avenue
1377,North Avenue
1378,North Avenue
1379,Northgate Drive
1380,Northgraves Avenue
1381,Northwood Commons Place
1382,Notre Dame Boulevard
1383,Noyo Court
1384,Oak Drive
1385,Oak Grove Lane
1386,Oak Haven Lane
1387,Oak Lawn Avenue
1388,Oak Manor Court
1389,Oak Mill Court
1390,Oak Park Avenue
1391,Oak Ranch Lane
1392,Oak Ridge Drive
1393,Oak Street
1394,Oak Vista Avenue
1395,Oak Way
1396,Oak Way
1397,Oakdale Street
1398,Oasis Drive
1399,Ocean Drive
1400,Ohio Street
1401,Old Chico Way
1402,Old Nimshew Stage Road
1403,Oleander Avenue
1404,Olive Street
1405,Olympus Lane
1406,Orange Street
1407,Orchard Blossom Lane
1408,Orchard Drive
1409,Orchard Lane
1410,Orchard Way
1411,Ord Ferry Road
1412,Orient Street
1413,Oriole Court
1414,Oroville Avenue
1415,Oroville Chico Highway
1416,Osprey Circle
1417,Otterson Drive
1418,Our Way
1419,Overland Court
1420,Owens Road
1421,Oxford Way
1422,Palisades Drive
1423,Palm Avenue
1424,Palmetto Avenue
1425,Palo Alto Street
1426,Palomar Lane
1427,Palomino Court
1428,Pam Court
1429,Pamela Way
1430,Panama Avenue
1431,Park Avenue
1432,Park View Lane
1433,Park Vista Drive
1434,Parkhurst Street
1435,Parkside Court
1436,Parktree Court
1437,Parkway Village Drive
1438,Parkwood Drive
1439,Parliament Court
1440,Parmac Road
1441,Parque Drive
1442,Parsley Lane
1443,Pasa Way
1444,Pasatiempo Drive
1445,Paseo Companeros Street
1446,Paseo Haciendas Court
1447,Paso Grande Court
1448,Passiflora Court
1449,Patches Drive
1450,Pathfinder Way
1451,Patricia Drive
1452,Pauletah Place
1453,Pavis Court
1454,Peacock Lane
1455,Pearman Court
1456,Pebblewood Pines Drive
1457,Pelican Park Drive
1458,Pembroke Terrace
1459,Peninsula Drive
1460,Pennisue Way
1461,Pennyroyal Drive
1462,Penstemon Way
1463,Penstemon Way
1464,Penzance Avenue
1465,Pepperwood Drive
1466,Perkins Road
1467,Persimmon Lane
1468,Pheasant Run Court
1469,Phendx Drive
1470,Philadelphia Drive
1471,Phlox Way
1472,Phoenix Way
1473,Phyllis Court
1474,Picholine Way
1475,Picual Court
1476,Piedmont Circle
1477,Pierce Road
1478,Pillsbury Road
1479,Pillsbury Road
1480,Pine Cone Way
1481,Pine Street
1482,Pinecrest Circle
1483,Pintail Lane
1484,Pinyon Hills Drive
1485,Piper Avenue
1486,Pistachio Drive
1487,Plaza Way
1488,Plumas Way
1489,Plummers Drive
1490,Plumwood Court
1491,Polk Street
1492,Pommegranate Court
1493,Pomona Avenue
1494,Pomona Lane
1495,Ponderosa Way
1496,Poplar Street
1497,Poppy Street
1498,Porchlight
1499,Porchlight Court
1500,Portal Drive
1501,Porter Street
1502,Porter Way
1503,Posada Way
1504,Potter Road
1505,Prairie Creek Drive
1506,Premier Court
1507,Primrose Lane
1508,Princess T J Court
1509,Purcell Lane
1510,Purple Robe Court
1511,Quadra Court
1512,Quail Covey Court
1513,Quail Meadow Lane
1514,Quail Run Drive
1515,Quintera Way
1516,Quista Drive
1517,Radcliff Lane
1518,Rafael Street
1519,Rain Tree Court
1520,Rain Tree Lane
1521,Rainier Lane
1522,Raley Boulevard
1523,Ralland Circle
1524,Ramada Way
1525,Ramsey Way
1526,Rancheria Drive
1527,Ranchita Way
1528,Rancho Arroyo Lane
1529,Rancho Road
1530,Ranchwood Court
1531,Rash Lane
1532,Raven Lane
1533,Ravenshoe Way
1534,Reagan Place
1535,Real Tree Court
1536,Reavis Avenue
1537,Rebecca Court
1538,Red Fox Court
1539,Red Hawk Lane
1540,Redding Drive
1541,Redeemers Loop
1542,Redwood Way
1543,Reed Park Drive
1544,Reese Road
1545,Regent Lane
1546,Reinemer Road
1547,Remington Drive
1548,Renee Circle
1549,Renkow Road
1550,Resources Lane
1551,Revere Lane
1552,Rey Circle
1553,Rey Way
1554,Rhapis Drive
1555,Rhodes Terrace
1556,Rich Bar Road
1557,Richardson Springs Road
1558,Richland Court
1559,Ricky Court
1560,Ridge Rim Road
1561,Ridgebrook Way
1562,Ridgewood Drive
1563,Rim Rock Drive
1564,Rim View Drive
1565,Ringtail Way
1566,Rio Bravo Drive
1567,Rio Chico Way
1568,Rio Grande Drive
1569,Rio Lindo Avenue
1570,Rising Ridge Court
1571,Ritchie Circle
1572,River Bend Lane
1573,River Oaks Drive
1574,River Road
1575,River Road
1576,River Wood Loop
1577,Riverview Circle
1578,Robailey Drive
1579,Robert Lee Place
1580,Roberto Court
1581,Roberts Court
1582,Roble Road
1583,Roble Vista Court
1584,Rochester Drive
1585,Rock Creek Drive
1586,Rock Creek Road
1587,Rockfield Court
1588,Rockin M Drive
1589,Rocky Bluff Drive
1590,Rocky Mtn Way
1591,Rodeo Avenue
1592,Rodgers Avenue
1593,Roe Road
1594,Rondo Court
1595,Roney Trail
1596,Roohr Court
1597,Rose Avenue
1598,Rose River Avenue
1599,Roseanna Court
1600,Roseleaf Court
1601,Rosemary Circle
1602,Rosenthal Avenue
1603,Rosenthal Lane
1604,Rossetti Lane
1605,Roth Street
1606,Roxanne Court
1607,Roxbury Court
1608,Royal Circle
1609,Royal Drive
1610,Royal Glen Lane
1611,Royce Lane
1612,Roz Lane
1613,Rubicon Court
1614,Rue Francais
1615,Rugosa Oak Court
1616,Running Springs Circle
1617,Rush Court
1618,Rushmore Avenue
1619,Ruskin Street
1620,Rusty Lane
1621,Ryan Avenue
1622,S Miller Avenue
1623,S Park Drive
1624,S Spanish Gardens
1625,S Whitman Place
1626,Sagebrush Court
1627,Saint Helens Lane
1628,Sale Avenue
1629,Salem Street
1630,Salishan Court
1631,San Antonio Drive
1632,San Gabriel Drive
1633,San Jose Street
1634,San Miguel Court
1635,San Pablo Court
1636,San Ramon Drive
1637,San Verbena Way
1638,Sandi Drive
1639,Sandra Circle
1640,Sandstone Lane
1641,Sandy Cove Drive
1642,Santa Clara Avenue
1643,Santa Clara Court
1644,Santana Court
1645,Santiago Court
1646,Santos Ranch Road
1647,Santos Way
1648,Sarah Avenue
1649,Saratoga Drive
1650,Satinwood Way
1651,Saurat Court
1652,Sausalito Street
1653,Savannah Lane
1654,Sawgrass Court
1655,Scarlet Grove Court
1656,Scenic Lane
1657,Scoles Lane
1658,Scooter Lane
1659,Scott Avenue
1660,Scottsdale Court
1661,Seabird Lane
1662,Sebastian Court
1663,Secluded Oaks Court
1664,Sedona Avenue
1665,Sega Drive
1666,Sellick Ranch Road
1667,Sequoyah Avenue
1668,Serendipity Lane
1669,Serenity Way
1670,Serrano Court
1671,Seven Mile Road
1672,Sevillano Court
1673,Seville Court
1674,Seward Lane
1675,Shadowtree Lane
1676,Shady Acres Court
1677,Shady Glen Court
1678,Shadybrook Lane
1679,Shadygrove Court
1680,Shalimar Court
1681,Shallow Springs Terrace
1682,Shamrock Avenue
1683,Shannon Court
1684,Shari Lane
1685,Shawna Lane
1686,Shearwater Court
1687,Sheep Hallow Creek Road
1688,Sheltering Oak Court
1689,Shepard Lane
1690,Sheridan Avenue
1691,Sherman Avenue
1692,Shimmering Oak Court
1693,Shooting Star Way
1694,Shorthorn Court
1695,Shorthorn Drive
1696,Shoshone Avenue
1697,Siena Ridge Loop
1698,Sierra Ladera
1699,Sierra Lakeside Lane
1700,Sierra Nevada Court
1701,Sierra Oaks Drive
1702,Sierra Springs Drive
1703,Sierra Sunrise Terrace
1704,Sierra View Way
1705,Sierra Vista Way
1706,Sigler Lane
1707,Sikorsky Avenue
1708,Silkwood Way
1709,Silver Lake Drive
1710,Silver Oak Drive
1711,Silverado Estates Court
1712,Silverbell Road
1713,Silverhill Court
1714,Simmental Drive
1715,Sir Aaron Court
1716,Sir Andrew Court
1717,Sir William Court
1718,Sky Mtn Road
1719,Skylark Drive
1720,Skymountain Circle
1721,Skypark Industrial Avenue
1722,Skywalker Court
1723,Skyway Avenue
1724,Skyway Road
1725,Sleepy Valley Road
1726,Smith Brothers Court
1727,Snowbird Drive
1728,Solar Estates Drive
1729,Sol-Wil-le-No Avenue
1730,Somerset Place
1731,Songbird
1732,Sorenson Circle
1733,Southbury Lane
1734,Southgate Avenue
1735,Southgate Court
1736,Southgate Lane
1737,Spanish Garden Drive
1738,Spanish Oak Circle
1739,Sparrow Hawk Lane
1740,Speedway Avenue
1741,Spicebush Court
1742,Spinnaker Way
1743,Springbrook Court
1744,Springfield Drive
1745,Spruce Avenue
1746,Spyglass Road
1747,Sr 99 Highway
1748,St Amant Drive
1749,St Augustine Drive
1750,St Clair
1751,St Clair Drive
1752,St Francis Drive
1753,St George Lane
1754,St James Court
1755,St Lawrence Avenue
1756,St Michael Court
1757,Stable Lane
1758,Stadium Way
1759,Stanley Avenue
1760,Stansbury Court
1761,Starflower Lane
1762,State Highway 32
1763,State Highway 32
1764,State Highway 32
1765,State Highway 99
1766,State Highway 99 E
1767,State Highway 99 N
1768,Statice Way
1769,Sterling Court
1770,Sterling Oaks Drive
1771,Stevens Avenue
1772,Stewart Avenue
1773,Stilson Canyon Road
1774,Stone Valley Court
1775,Stonebridge Drive
1776,Stonewall
1777,Stonewood Court
1778,Stoney Meadow Terrace
1779,Stoney Point Way
1780,Stratford Way
1781,Streamside Court
1782,Summersky Comm
1783,Summit Ridge Terrace
1784,Sun Circle Court
1785,Sun River Drive
1786,Sunbury Road
1787,Sunflower Court
1788,Sunland Drive
1789,Sunrise Court
1790,Sunset Avenue
1791,Sunshine Road
1792,Surrey Lane
1793,Sutter Avenue
1794,Swallowtail Way
1795,Sweetbriar Drive
1796,Switzerland Lane
1797,Switzerland Street
1798,Sycamore Drive
1799,Sycamore Street
1800,Sycamore Valley Road
1801,Taffee Avenue
1802,Taige Street
1803,Talbert Drive
1804,Talon Drive
1805,Tandy Court
1806,Tangerine Court
1807,Tara Terrace
1808,Taylor Street
1809,Teagarden Court
1810,Temperance Way
1811,Ten Mile House Trail
1812,Terrace Drive
1813,Terrace Lane
1814,Terrance Lane
1815,Thomas Lane
1816,Thorntree Drive
1817,Three Sevens Lane
1818,Thunderbolt Street
1819,Tiberon Way
1820,Tiffany Way
1821,Tilden Lane
1822,Tina Court
1823,Tioga Way
1824,Titleist Way
1825,Todd Court
1826,Tokay Ranch Road
1827,Tom Polk Avenue
1828,Tom Polk Avenue
1829,Tom Polk Circle
1830,Tomin Road
1831,Tonea Way
1832,Top Flight Court
1833,Top Hand Court
1834,Torino Court
1835,Townsend Court
1836,Towser Road
1837,Toyon Way
1838,Tracy Lane
1839,Tradewinds Court
1840,Transit Way
1841,Trenta Drive
1842,Trieste Way
1843,Trinity Lane
1844,Troxel Road
1845,Troy Lane
1846,Tuliyani Drive
1847,Tuolumne Drive
1848,Turnbridge Welles
1849,Turtle Cove Way
1850,University Farm Road
1851,Upland Drive
1852,Upper Lake Court
1853,Vail Drive
1854,Valentine Court
1855,Valhalla Place
1856,Valine Lane
1857,Valley Court
1858,Valley Forge Drive
1859,Valley Lake Cmns
1860,Valley Oak Drive
1861,Vallombrosa Avenue
1862,Vallombrosa Circle
1863,Vallombrosa Lane
1864,Vallombrosa Way
1865,Ventana Court
1866,Verbena Avenue
1867,Verbena Lane
1868,Verde Court
1869,Verde Drive
1870,Vermillion Circle
1871,Vernice Court
1872,Vernyce Court
1873,Via Casita Place
1874,Via de la Cruz Way
1875,Via Flora Court
1876,Via Los Arboles
1877,Via Medio
1878,Via Mission Drive
1879,Via Morro Court
1880,Via Verona Circle
1881,Via Verona Drive
1882,Viceroy Drive
1883,Vicksburg Court
1884,Victor Drive
1885,Victoria Way
1886,Victorian Park Drive
1887,Viento Drive
1888,Vilas Road
1889,Villa Drive
1890,Villa Oak Court
1891,Village Drive
1892,Village Lane
1893,Vintage Court
1894,Virage Lane
1895,Virginia Street
1896,Vispera Drive
1897,Vista Verda Avenue
1898,Vista Verde Avenue
1899,Vistamont Way
1900,W 10th Avenue
1901,W 10th Street
1902,W 11th Avenue
1903,W 11th Street
1904,W 12th Avenue
1905,W 12th Street
1906,W 13th Street
1907,W 14th Street
1908,W 15th Street
1909,W 16th Street
1910,W 17th Street
1911,W 18th Street
1912,W 19th Street
1913,W 1st Avenue
1914,W 1st Street
1915,W 20th Street
1916,W 21st Street
1917,W 22nd Street
1918,W 2nd Avenue
1919,W 2nd Street
1920,W 3rd Avenue
1921,W 3rd Street
1922,W 4th Avenue
1923,W 4th Street
1924,W 5th Avenue
1925,W 5th Street
1926,W 6th Avenue
1927,W 6th Street
1928,W 7th Avenue
1929,W 7th Street
1930,W 8th Avenue
1931,W 8th Street
1932,W 9th Avenue
1933,W 9th Street
1934,W Commercial Street
1935,W East Avenue
1936,W Frances Willard Avenue
1937,W Lassen Avenue
1938,W Lincoln Avenue
1939,W Lindo Avenue
1940,W Sacramento Avenue
1941,W Sacramento Avenue
1942,W Shasta Avenue
1943,W Tonea Way
1944,W Wind Drive
1945,Wall Street
1946,Walnut Circle
1947,Walnut Glen Court
1948,Walnut Park Drive
1949,Walnut Street
1950,Walnut Tree Lane
1951,Walnutshire Lane
1952,Wanderer Lane
1953,Warfield Road
1954,Warner Street
1955,Warren Street
1956,Washington Street
1957,Waterford Drive
1958,Watson Lane
1959,Watts Estates Drive
1960,Watts Road
1961,Waverly Court
1962,Wawona Place
1963,Waxwing Way
1964,Wayne Lane
1965,Webb Avenue
1966,Webb Avenue
1967,Webster Drive
1968,Wedge Wood Lane
1969,Wedgewood Lane
1970,Welding Way
1971,Wellington Court
1972,Wells Island Road
1973,Wendlis Road
1974,Wendy Way
1975,Westgate Court
1976,Westgrove Court
1977,Westin Lane
1978,Westminster Court
1979,Westmont Court
1980,Westmont Drive
1981,Westwind Street
1982,Weymouth Way
1983,Whispering Pines Circle
1984,Whispering Winds Lane
1985,Whistler Way
1986,Whitchurch Lane
1987,White Avenue
1988,White Avenue
1989,White Cedar Lane
1990,White Deer Lane
1991,Whitehall Place
1992,Whitewood Way
1993,Whitman Avenue
1994,Wild Oak Lane
1995,Wild Rose Circle
1996,Wilder Drive
1997,Wildflower Court
1998,Wildhorse Hollow Road
1999,Will T Road
2000,William Penn Court
2001,Williamsburg Lane
2002,Willow Bend Drive
2003,Willow Glen Road
2004,Willow Landing Road
2005,Willow Springs Road
2006,Willow Street
2007,Willowbrook Way
2008,Wilshire Court
2009,Wilson Landing Road
2010,Windbridge Court
2011,Windecker Drive
2012,Windham Way
2013,Windmill Court
2014,Windrose Court
2015,Wine Blossom Drive
2016,Winesap Court
2017,Winkle Drive
2018,Wisconsin Street
2019,Wisteria Lane
2020,Wood Creek Drive
2021,Wood Creek Lane
2022,Wood Haven Drive
2023,Woodbridge Drive
2024,Woodcrest Lane
2025,Woodhaven Drive
2026,Woodland Avenue
2027,Woodminister Court
2028,Woodminster Court
2029,Woodmont Court
2030,Woodrose Lane
2031,Woodside Lane
2032,Woodstone Lane
2033,Woodview Lane
2034,Wookey Road
2035,Wrangler Court
2036,Wrex Court
2037,Wyndham Court
2038,Wysong Court
2039,Yale Circle
2040,Yale Way
2041,Yarrow Drive
2042,Yellowstone Drive
2043,Yokum Street
2044,Yosemite Drive
2045,Yuhnke Lane
2046,Zachary Court
2047,Zanella Way
2048,Zinfandel Drive
2049,Zinnia Way
2050,Zion Canyon Court
2051,Zuni Avenue
2052,Barton Hill Road
2053,Binet Road
2054,Breezy Boulevard
2055,Charles Lynd Way
2056,Colbus-Alexander Lane
2057,Fiedler Lane
2058,Forbestown Road
2059,Holiday Drive
2060,Kirkwood Way
2061,la Porte Road
2062,Mallory
2063,Merry Way
2064,Mooreville Ridge Road
2065,New York Flat Road
2066,Siesta Circle
2067,Winding Way
2068,Ackerman Avenue
2069,Adams Ranch Road
2070,Adobe Road
2071,Aguas Frias Road
2072,Almond View Court
2073,Applegate Lane
2074,Blacks Lane
2075,Blaser Lane
2076,Blossom Lane
2077,Bree Court
2078,Bremner Court
2079,Brinson Lane
2080,Brown Street
2081,Brunswick Lane
2082,Burdick Road
2083,Burnham Camp Road
2084,Campbell Street
2085,Chayote Drive
2086,Clements Ridge Road
2087,Colm Avenue
2088,Corbett Court
2089,Cummings Lane
2090,Cummings Road
2091,Dillon Court
2092,Duckling Drive
2093,Durham Dayton Highway
2094,Durham Street
2095,Durham-Pentz Highway
2096,Durham-Pentz Road
2097,Durnel Drive
2098,Dwyer Court
2099,el Bandito Lane
2100,Epperson Way
2101,Esquon Road
2102,Etta Lane
2103,Faber Street
2104,Ferson Road
2105,Florida Lane
2106,Formosa Way
2107,Frank Marion Lane
2108,Frederick Lane
2109,G Warren Drive
2110,Gala Lane
2111,Garden Creek Road
2112,Garden Road
2113,Goodspeed Road
2114,Goodspeed Street
2115,Gorrill Lane
2116,Grainland Road
2117,Hanlon Road
2118,Harris Ranch Road
2119,Harvest Lane
2120,Hearnow Lane
2121,Holland Avenue
2122,House Avenue
2123,Hutton Way
2124,Hyer Court
2125,Jeni Ann Court
2126,Jones Avenue
2127,Kay Lee Drive
2128,Keenan Court
2129,Koyo Lane
2130,la Rue Lane
2131,Lasell Lane
2132,Laura Lane
2133,Lemm Road
2134,Lott Road
2135,Marichert Court
2136,Marsh Court
2137,McAnarlin Avenue
2138,Mello Way
2139,Mesa Road
2140,Metzger Court
2141,Midway
2142,Miva Road
2143,Morgan Creek Lane
2144,Nakia Court
2145,Nelson Road
2146,Nut Tree Drive
2147,Old Stage Road
2148,Oroville Chico Highway
2149,Pepsi Way
2150,Peterson Estates Drive
2151,Pintail Lane
2152,Pratt Avenue
2153,Pratt Grant Road
2154,Prut Road
2155,Putney Drive
2156,Reed Lane
2157,Renz Road
2158,Richvale South Highway
2159,Roble Road
2160,Sacramento Street
2161,Sakely Lane
2162,Sarah Ann Court
2163,Serviss Street
2164,Seven Mile Lane
2165,Seven Mile Road
2166,Skillin Estates Drive
2167,Snoe Way
2168,Sohnrey Way
2169,Southwind Court
2170,Spring Wood Lane
2171,Sr 149 Highway
2172,Stanford Lane
2173,State Highway 99
2174,State Street
2175,Sterling Creek Lane
2176,Sullivan Way
2177,Sycamore Lane
2178,Taylor Avenue
2179,Teal Lane
2180,Tracy Ranch Road
2181,Trades Way
2182,Turner Lane
2183,Turntree Court
2184,Van Ness Way
2185,Via Calle Court
2186,Vista Lane
2187,Wacker Drive
2188,White Drive
2189,White Oak Drive
2190,Widgeon Lane
2191,Wilma Way
2192,Fields Ridge Road
2193,Madrome Circle
2194,Abernathy Road
2195,Bamford Way
2196,Big Fir Road
2197,Binet Road
2198,Broken Springs Road
2199,Bryant Ravine Road
2200,Buckeye Drive
2201,Challenge Cut Off Road
2202,Challenge Cutoff Road
2203,Charles Lynd Way
2204,Cloverleaf Lane
2205,Costa Road
2206,Deercliff Court
2207,Fallen Leaf Court
2208,Forbestown Reservoir Road
2209,Forbestown Road
2210,Glenwood Avenue
2211,Hiatt Lane
2212,Hodgkins Lane
2213,Holiday Drive
2214,Idlewild Circle
2215,Idlewood Circle
2216,Indian Rock Court
2217,Jimmy Court
2218,Kemre Road
2219,Kirkwood Way
2220,Kirsty Crescent Court
2221,Larem Lane
2222,Leyval Way
2223,Lumpkin Road
2224,Mallory
2225,Melanese Lane
2226,Merry Way
2227,Mount Hope Road
2228,Mt Hope Road
2229,Museum Lane
2230,Neptune Road
2231,New York Flat Road
2232,Plaskett Court
2233,Ponderosa Way
2234,Retreat Road
2235,Sucker Run Road
2236,Tamarack Road
2237,Vierra Road
2238,Walden Pond Lane
2239,Winding Way
2240,Woodleaf Tunnel Road
2241,14 Mile House Drive
2242,A J Stohr Road
2243,Abner Lane
2244,All Seasons Drive
2245,Altatina Drive
2246,Bagshot Row
2247,Bear Run
2248,Big Bluff Court
2249,Biggers Lane
2250,Bissell Court
2251,Black Oak Terrace
2252,Blackberry Road
2253,Blueberry Meadow
2254,Bomberg Lane
2255,Brian Lane
2256,Browns Lane
2257,Burgundy Lane
2258,Butte Creek Flat Road
2259,Cabernet Way
2260,Cabot Place
2261,Canyon View Drive
2262,Carol Ann Lane
2263,Catalyst Way
2264,Cedar Creek Loop Road
2265,Cedar Creek Road
2266,Cedar-Creek
2267,Chase Drive
2268,Chateau Way
2269,Cheri Lane
2270,Chico Canyon Road
2271,Christina Drive
2272,Clearcut Lane
2273,Cll Tierra
2274,Cody Lane
2275,Conastoga Way
2276,Contentment Lane
2277,Country Living Lane
2278,Crown Point Road
2279,Culiacan Court
2280,Deacons Row Pvt
2281,Dear Abby Road
2282,Deer Creek Highway
2283,Deer Trail
2284,Derr Road
2285,Doe Mill Road
2286,Dorrett Drive
2287,Eagle Ridge Drive
2288,English Lane
2289,Fitzgerald Court
2290,Fitzgerald Drive
2291,Flodin's Court
2292,Forest Circle
2293,Forest Drive
2294,Forest Ranch Road
2295,Forest Ranch Way
2296,Forest Rim Lane
2297,Fourteen Mile House Road
2298,Garland Road
2299,Greenemoore Court
2300,Greybeard Lane
2301,Hanks Court
2302,Hartley Drive
2303,Headwaters Road
2304,Heavenly Glen
2305,Heidi Way
2306,Hidden Forest Way
2307,Home Pl Lp
2308,Homeplace Loop
2309,Humboldt Park Drive
2310,Humboldt Road
2311,Humbug Summit Road
2312,Jones Creek Road
2313,Kingridge Circle
2314,Kleinsdale Court
2315,Knolls Drive
2316,Lasen View Lane
2317,Linda Lisa Lane
2318,Loerke Lane
2319,Lookout Circle
2320,Lucas Ranch Road
2321,Maddrill Lane
2322,Majestic Lane
2323,Majestic Way
2324,Malloy Creek Trail
2325,Meadow Creek Drive
2326,Meadow Edge Trail
2327,Mickey Trail
2328,Nameco Road
2329,Nicholas Road
2330,Nopel Avenue
2331,Nopel Road
2332,Odonnell Way
2333,O'Donnell Way
2334,Old Chico Canyon Road
2335,Papya Road
2336,Peregrine Road
2337,Pine Way
2338,Platt Mountain Road
2339,Platt Mtn Road
2340,Platt Road
2341,Ponderosa Way
2342,Pot Hole Drive
2343,R F J Way
2344,Rattlesnake Ridge Road
2345,Sanctuary Lane
2346,Schott Road
2347,Scotty Lane
2348,Scout Road
2349,Shake Mill Drive
2350,Shoshannah Lane
2351,Shuffleton Drive
2352,Siwini Road
2353,Skyway
2354,Snow Mountain Way
2355,Stag Lane
2356,Stage Road
2357,Starlight Drive
2358,Sugar Pine Place
2359,Summer Place
2360,Summer Place Road
2361,Summerwind Trail
2362,Tiger Lily Lane
2363,Tippi Toe Lane
2364,Toll Gate Way
2365,Valerie Place
2366,Via Patrico
2367,Village Drive
2368,Vivian Lane
2369,Wagon Road
2370,Wanda Lane
2371,Wendlis Road
2372,White Channel Lane
2373,Wintergreen Lane
2374,Wintermist Court
2375,Woodland Park Drive
2376,Ad's Lane
2377,Alexander Avenue
2378,Anderson Way
2379,Andrea M Court
2380,Archer Avenue
2381,Armstrong Way
2382,Ash Street
2383,Authority Drive
2384,Ayers Avenue
2385,Ban Drive
2386,Bayberry Way
2387,Berry Patch Court
2388,Biggs Avenue
2389,Block Road
2390,Blue Bird Lane
2391,Blue Heron Court
2392,Bluebird Lane
2393,Bond Lane
2394,Bonnell Avenue
2395,Booth Drive
2396,Bowen Court
2397,Bowwood Street
2398,Brandon Road
2399,Briar Patch Lane
2400,Briar Patch Road
2401,Briarcliff Lane
2402,Bridgeford Avenue
2403,Bridgeford Court
2404,Burwood Road
2405,Butte Lodge Court
2406,Butte View Drive
2407,California Street
2408,Campbell Avenue
2409,Canvasback Court
2410,Cedar Street
2411,Center Avenue
2412,Chambers Lane
2413,Chandon Avenue
2414,Cherry Blossom Lane
2415,Cherry Street
2416,Cinnnamon Teal Court
2417,Clardy Avenue
2418,Colusa Highway
2419,Cowee Avenue
2420,Curley Lane
2421,Daisy Lane
2422,Davis Road
2423,Deniz Brothers Lane
2424,Dewsnup Avenue
2425,E Evans Reimer Road
2426,E Gridley Road
2427,E Hazel Street
2428,E Spruce Street
2429,Eagle Meadows Drive
2430,Ernest Avenue
2431,Ettl Court
2432,Evelyn Drive
2433,Fairview Drive
2434,Farris Road
2435,Flyway Court
2436,Ford Avenue
2437,Francis Road
2438,Fredonia Lane
2439,French Avenue
2440,Genesee Road
2441,Georgia Street
2442,Gilstrap Avenue
2443,Glenn Ellen Drive
2444,Grace Road
2445,Gray Lodge Court
2446,Greenhead Court
2447,Gridley Avenue
2448,Gridley Road
2449,Gridley-Colony Highway
2450,Gridley-Colusa Highway
2451,Hannagan Lane
2452,Haskell Street
2453,Hatch Road
2454,Hazel Street
2455,Heron Landing Way
2456,Higgins Avenue
2457,Hinaman Drive
2458,Hollis Lane
2459,Hopkins Avenue
2460,Humble Avenue
2461,Hurlburt Lane
2462,Hutchins Drive
2463,Idaho Street
2464,Indiana Street
2465,Iowa Street
2466,Jackson Street
2467,Jacob Street
2468,James Rowe Drive
2469,Jay Drive
2470,Jericho Court
2471,Johnson Clan Avenue
2472,Johnson Lane
2473,Justeson Avenue
2474,Keifer Avenue
2475,Keith Avenue
2476,Kentucky Street
2477,Kirk Road
2478,Kofford Road
2479,Kuhn Road
2480,Lalovi Drive
2481,Larkin Road
2482,Laub Road
2483,Laurel Street
2484,Levee Road
2485,Lewis Oak Road
2486,Lincoln Street
2487,Little Avenue
2488,Lively Road
2489,Locust Street
2490,Lone Star Court
2491,Losser Avenue
2492,Macedo Road
2493,Magnolia Street
2494,Magnolia Terrace
2495,Maine Street
2496,Maitland Court
2497,Marie Court
2498,McConnell Avenue
2499,Melo Glow Lane
2500,Meyers Avenue
2501,Miller Avenue
2502,Neubarth Lane
2503,Nevada Street
2504,Nielson Avenue
2505,Norman Street
2506,Northern Pintail Court
2507,Nugent Road
2508,Oak Street
2509,Obermeyer Avenue
2510,O'Brien Avenue
2511,Ogden Avenue
2512,Ohio Street
2513,Ord Ranch Road
2514,Oregon Street
2515,Palm Avenue
2516,Paradox Drive
2517,Park Street
2518,Peach Street
2519,Peachton Lane
2520,Pecan Street
2521,Pennington Road
2522,Peterson Avenue
2523,Prather Road
2524,Randolph Avenue
2525,Richards Avenue
2526,Richins Avenue
2527,Riley Road
2528,Ringnecked Pheasant Court
2529,River Avenue
2530,Riviera Road
2531,Robinson Road
2532,Rowdy Road
2533,Rudd Lane
2534,Rudo Lane
2535,Ruthann Way
2536,Rutherford Road
2537,Rutland Court
2538,S Ohio Street
2539,Sage Street
2540,Sandhill Crane Court
2541,Scarlet Oak Drive
2542,Schohr Ranch Road
2543,Sheldon Avenue
2544,Sierra Vista Street
2545,Silva Lane
2546,Snow Goose Court
2547,Social Hall Road
2548,Spicetree Street
2549,Spruce Street
2550,Sr 99 Highway
2551,Staff Drive
2552,Standish Lane
2553,State Highway 99
2554,Sussex Avenue
2555,Svensk Court
2556,Sycamore Street
2557,Thresher Avenue
2558,Township Road
2559,Turner Avenue
2560,Van Demark Court
2561,Vermont Street
2562,Virginia Street
2563,Vista del Rio Street
2564,W Biggs Gridley Road
2565,W Evans Reimer Road
2566,W Liberty Court
2567,W Liberty Road
2568,Wade Road
2569,Washington Street
